id,name,level,charge,school,somatic,verbal,material,Mat-desc,consume,cost,cast,Cast-unit,ritual,duration,Duration-unit,concentration,range,Range-unit,target,Target-unit,Target-type,Acn-type,damage,Save-attr,show,descr,img
37VLMG8DVH1QVCYM,Conduit Shock,1,y,evo,y,y,n,,n,,1,action,n,,inst,n,20,ft,20,ft,line,rsak,"1d10,lightning,2d6,lightning",dex,n,"<p>A jolt of electricity reaches from you toward a creature within range. Make a ranged spell attack against the target, ignoring any cover bonuses resulting from other creatures obstructing the attack’s path. On a hit, the creature takes 1d10 lightning damage. Hit or miss, the target and any creature standing in a line between you and the target must make a Dexterity (Save) Check to avoid an arc of lightning that briefly flickers between you and your target. Creatures in the line take 2d6 lightning damage on a failed save, or half as much on a success.<br><br>Charge: This is a spell that can be Charged, modifying its effects. Costs and effects are as follow: <ul><li>1 Mana: The spell’s range increases to 30 feet.</li><li>1 Mana: The lightning damage on a successful save is increased to half damage. </li><li>1 Mana: The attack deals 1d8 additional lightning damage to its target for each creature in the line that fails the save. </li><li>3 Mana: The lightning damage on a failed save increases to 4d6. </li></ul></p>",icons/magic/lightning/bolt-beam-strike-blue.webp
QCCRMIWOSKAGJIAX,Heighten Senses,1,y,tra,n,y,y,"a carrot for sight, the ear of a beast for hearing, a downy feather for touch, a thin cracker for taste, or a spicy pepper for smell",n,,1,action,n,1,hour,n,0,touch,1,,creature,util,,,n,"<p>You sharpen a creature&rsquo;s sense of sight, hearing, touch, taste, or smell. For the duration the target has advantage on Wisdom (Perception) and Wisdom (Instinct) checks where the chosen sense is applicable. This also has the effect of granting them a +5 bonus to Awareness in situations where the enhanced sense would apply.</p><p>Charge:&nbsp;This is a spell that can be Charged, modifying its effects. Costs and effects are as follow:</p><ul><li>1 Mana: You enhance all five senses instead of just one, but the spell requires all five material components if you don&rsquo;t have a focus.</li><li>1 Mana: You additionally gain a sixth sense, allowing the target to sense the presence of @Compendium[undertaking.conditions.YE63H7VLOHW7NFHO]{Invisible}&nbsp;creatures within 30ft of them, whether corporeal or metaphysical. While the target cannot actually see the creature, the Invisible condition does not grant any benefits against the target.</li></ul>",icons/magic/perception/eye-ringed-glow-angry-red.webp
OK48R80X6F22TZ7D,Magic Missive,1,y,div,n,y,y,"A signed book worth at least 5gp, which the spell partially consumes",y,5,1,minute,y,7,day,n,25,mi,1,,creature,util,,,n,"<p>When you cast this spell, you can communicate with any creature that has signed the book you hold. Address a creature by name and dictate a message consisting of up to 30 words to it. The book flips open to its first empty page and the words you dictate appear on the page in your handwriting as you speak them. The spell fails if you address your message to a creature that has not written its own name on the inside cover of the book, or if there are no remaining blank pages in the book.</p><p>Once you finish dictating the message, the page tears itself from the book, folds into a glider, and takes flight at a speed of 180 feet per round (20 miles per hour). If the recipient is within the spell&rsquo;s range, the message travels to them by the shortest route that is safe for it to do so, otherwise it travels to a random point within the spell&rsquo;s range. When the message arrives it unfolds and hovers gently for 6 seconds or until held. The message, when held by the target creature, imparts an understanding that it can dictate a reply of 30 words of their own, which the spell inscribes on the back of the sheet. When their reply is finished, the page refolds and travels back to you at the same speed, as long as you are still on the same plane of existence as it. The spell ends when the reply reaches you or if the recipient does not reply within 10 minutes of receipt.</p><p>The message deftly avoids collisions as it travels.&nbsp; The seeking magic fades from the message if it takes damage, has an object attached to it, or is manually unfolded during transit. While under the effect of the spell, the page can&rsquo;t be marked or altered by mundane means. If all paths to the message&rsquo;s target are cut off (for example the message or target is inside a closed room) it taps gently against the obstacle blocking it until a path becomes available or the spell&rsquo;s duration expires.</p><p>&nbsp;</p><p>Charge: This is a spell that can be Charged, modifying its effects. Costs and effects are as follow:</p><ul><li> 1 Mana: The spell&rsquo;s range is increased to 75 miles (the rough equivalent of three day&rsquo;s travel by horse).</li><li> 3 Mana: The spell&rsquo;s range encompasses the plane of existence you are currently on.</li></ul>",icons/sundries/documents/envelope-sealed-red-brown.webp
J5U5KBOO9206NABR,Reassurance,1,y,mes,y,y,n,,n,,1,action,n,,inst,n,30,ft,1,,creature,util,,,n,"<p>You assuage feelings of panic and desperation in one creature you can see, steeling its resolve to act. Choose one of the following effects:</p><ul><li>If the creature has taken a desperate action since its last turn, it can act normally on its next turn. Even with this benefit, it can&rsquo;t take another desperate action before the start of its next turn.</li><li>If the creature is suffering from one or more effects causing it to be @Compendium[undertaking.conditions.KJXJ0T5RPNC51N4V]{Charmed} or @Compendium[undertaking.conditions.UK95BQ45TGSD5Q3V]{Frightened} you can force it to immediately repeat its (Save) check against one of those effects at advantage.</li></ul><p>&nbsp;</p><p>Charge: This is a spell that can be Charged, modifying its effects. Costs and effects are as follow:</p><ul><li>1 Mana: You can choose both effects.</li><li>1 Mana: If you choose to make the target repeat its (Save) check and it fails, it makes all subsequent (Save) checks to end that effect at advantage.</li></ul>",icons/magic/holy/meditation-chi-focus-blue.webp
UP6CZCZNLFNH0ACB,Song of Adventure,1,n,mes,n,y,y,a musical instrument worth at least 1cp,n,1,1,action,n,10,minute,y,0,self,30,ft,sphere,util,,,n,"You produce a short melody, which continues on its own and builds to fill the space around you with energizing music. The music instills creatures of your choice that can hear you with a sense of expeditiousness, granting them an additional 15 feet of movement the first time they are within 30 feet of you each turn.",icons/magic/nature/instrument-recorder-leaves.webp
SJOC3K184JG3G1IC,Vitalizing Prose,1,y,evo,n,y,n,,n,,1,minor,n,,inst,n,60,ft,1,,creature,heal,"1d4+@mod,healing",,n,"<p>Your words stir heroism in a creature and staunch its wounds. One creature within range that can hear you (though it need not understand you) regains hit points equal to 1d4 + your spellcasting modifier. This spell has no effect on a creature that is @Compendium[undertaking.conditions.9KB959MRZ0H4IT4C]{Unconscious} or @Compendium[undertaking.conditions.WK17M9FZR08DRUP1]{Deafened}.</p><p>Desperate: When you cast this spell as a desperate action, it gains the ability to affect creatures that were knocked @Compendium[undertaking.conditions.9KB959MRZ0H4IT4C]{Unconscious} if used during the turn they fell unconscious. This healing does not prevent the creature from falling @Compendium[undertaking.conditions.RK3DF56CKMQUV6DM]{Prone}. In addition, the target also gains 1d4 temporary hit points.</p><p>Charge: This is a spell that can be Charged, modifying its effects. Costs and effects are as follow:</p><ul><li>1 Mana: The hit points restored increases to 2d4 + your spellcasting modifier.</li><li>2 Mana: Target an additional creature within range.</li></ul>",icons/magic/sonic/scream-wail-shout-teal.webp
WR681XHI4K1RFFID,Cauterize,2,y,evo,y,y,y,A bandage and a dab of oil,n,,1,action,n,,inst,n,0,touch,1,,creature,save,"2d6,fire",dex,n,"<p>You reach out and sear a creature&rsquo;s open wounds. The creature takes 2d6 fire damage and must make a Dexterity (Save) Check to try and pull away, which it can choose to fail. On a failed save, you choose one of the following to happen:</p><ul><li>All of the creature&rsquo;s stacks of @Compendium[undertaking.conditions.R54LQEKSDXNQ3N75]{Bleeding}&nbsp;are removed, and it suffers an additional 1d6 fire damage for each stack removed.</li><li>The creature resists the spell&rsquo;s fire damage and gains temporary hit points equal to the fire damage taken. This damage cannot reduce a creature below 1 hit point. Additionally, all of the creature&rsquo;s stacks of @Compendium[undertaking.conditions.R54LQEKSDXNQ3N75]{Bleeding}&nbsp;are removed, gaining an additional 1d6 temporary hit points per removed stack.</li></ul><p>Charge: This is a spell that can be Charged, modifying its effects. Costs and effects are as follow:</p><ul><li>2 Mana: After resolving the spell&rsquo;s effects, re-apply half of the stacks of @Compendium[undertaking.conditions.R54LQEKSDXNQ3N75]{Bleeding}&nbsp;the spell removed.</li><li>X Mana: For each extra Mana you spend, up to your charge limit, you can also remove one stack of @Compendium[undertaking.conditions.R54LQEKSDXNQ3N75]{Bleeding}&nbsp;from yourself. If the target fails its save, you can include these in the total stacks of @Compendium[undertaking.conditions.R54LQEKSDXNQ3N75]{Bleeding}&nbsp;removed when determining the spell&rsquo;s effects on the target.</li></ul>",icons/magic/fire/flame-burning-hand-orange.webp
9J6AS3OK4M7GS3NW,Corporeal Semblance,2,y,tra,y,n,y,"A lock of hair, vial of blood, or other fragment taken from a societal creature in its natural form, which the spell consumes",y,,1,minute,n,8,hour,y,0,touch,1,,creature,util,,,n,"<p>You temporarily change the race of one willing creature you touch, giving them the form, appearance, and racial abilities of a creature from a different lineage. For the duration, the target replaces all of their racial abilities with those of the creature that the spell&rsquo;s material components were taken from, ignoring any changes to attributes, maximum hit points, lifespan, proficiencies, languages, or equipment.&nbsp;</p><p>The target&rsquo;s new form loosely resembles that of the copied creature such that they could be mistaken for a relative, but not to the extent that anyone would confuse the two. Within these constraints, the target can fine-tune aspects of their new appearance, such as hairstyle, body markings, age, and body shape, as long as they are possible for the new race and relatively similar to the copied creature.</p><p>The magic of the spell provides the target with a basic understanding of their new form&rsquo;s capabilities and helps acclimate them to any unusual externalities such as new senses, different forms of locomotion, or an alien set of vocal cords.</p><p>This spell struggles to perfectly recreate any magical aspects the target&rsquo;s new form may have. Abilities that would restore a creature&rsquo;s mana can only restore up to 1 mana total across the transformation&rsquo;s duration. Additionally, the target must use its own mana to cast any spells of 2nd level or higher granted by their new race, even if they would normally be able to cast them without mana.</p><p>Charge: This is a spell that can be Charged, modifying its effects. Costs and effects are as follow:</p><ul><li>0 Mana: The spell no longer requires Concentration but only lasts 1 hour.</li><li>1 Mana: The target&rsquo;s clothing and armor alter and resize to accommodate their new form, but the material and style remains the same. They remain in this altered state for the spell&rsquo;s duration, even when doffed.</li><li>2 Mana: The spell consumes an additional valid material component, taken from a different creature. The target gains the core race abilities from one and the branch race abilities from the other, and their new form resembles a hybrid of the two.</li></ul>",icons/magic/control/energy-stream-link-white.webp
DV87F1MQUC5C59VW,Corrosive Wash,2,y,con,y,y,y,"vinegar, a piece of limestone",n,,1,action,n,1,round,n,30,ft,1,,creature,save,"2d10,acid",dex,n,"<p>You conjure a shower of corrosive acid upon a target within range. The target must make a Dexterity (Save) check. On a failed save, it takes 2d10 acid damage and becomes coated in bubbling acid, temporarily weakening its defenses. If the creature is benefiting from natural armor, medium armor, heavy armor, or a shield then it suffers a -2 penalty to AC until the end of your next turn. This reduction to AC cannot be combined with other effects that reduce AC, such as multiple castings of this spell.</p><p>On a successful save, the creature takes half of the damage and suffers no other effects.</p><p>Charge: This is a spell that can be Charged, modifying its effects. Costs and effects are as follow:</p><ul><li>1 Mana: The AC reduction applies to any target that fails their save, regardless of what armor or shields they have.</li><li>2 Mana: The AC penalty increases to -3.</li><li>2 Mana: In addition to targeting a creature, you can cause the acid to permanently eat holes in one Large or smaller object not being worn or carried or one 5-foot section of wall that is within 5 feet of the target. As well as weakening the structural integrity of the object or surface, any creature that attempts to use it as cover gains one tier lower of obstruction from the object than it normally would. For example, a creature fully obscured by it would only gain the benefits of three-quarters cover. Weapons affected by this deal a damage die size smaller.</li></ul>",icons/magic/acid/dissolve-bone-white.webp
2PJ8ZPXCT48NTRUF,Escape,2,y,tra,n,y,n,,n,,1,minor,n,1,round,n,0,self,1,,creature,util,,,,"<p>With a startling shout, you momentarily transform into a harmless flying cloud of vapor, beasts, or spirits. While transformed in this way, your size becomes Tiny, you have the ability to fly, and you gain an additional 30 ft of movement this turn.&nbsp;</p><p>You revert to your normal form once you have moved 30 ft, you attempt to take any other actions, or you end your turn. If you revert in a space too small to contain you, you take 5 force damage and are forced back along the path you took until there is enough space to accommodate you.</p><p>When you transform, all equipment you are wearing or carrying transforms with you, and you automatically escape any @Compendium[undertaking.conditions.FGVFFYGPAFQGZ5RP]{Grappled}&nbsp;or @Compendium[undertaking.conditions.1EK5V6KTYAWC6S69]{Restrained}&nbsp;conditions caused by non-magical sources. Magical effects causing you to be @Compendium[undertaking.conditions.FGVFFYGPAFQGZ5RP]{Grappled}&nbsp;or @Compendium[undertaking.conditions.1EK5V6KTYAWC6S69]{Restrained}&nbsp;are only suppressed while you are transformed.</p><p>Charge: This is a spell that can be Charged, modifying its effects. Costs and effects are as follow:</p><ul><li>1 Mana: If used as a Desperate Action, you gain advantage on Dexterity (Save) Checks and an additional +2 AC until the end of the interrupted creature&rsquo;s turn.</li><li>2 Mana: One willing creature within 5ft of you is also transformed and carried with you. When your transformation ends they are deposited in the nearest empty space.</li></ul>",icons/creatures/birds/birds-flock-fly-yellow.webp
IGNXR8HBQZS1JVCY,Ophidian Kiss,2,y,tra,y,y,y,the fang of a snake,n,,1,action,n,1,minute,y,0,self,1,,creature,msak,"2d6,poison",,n,"<p>Your teeth grow into vicious fangs, dripping with deadly venom. Make a melee spell attack against a creature within 5 feet. On a hit, the creature takes 2d6 poison damage and gains the @Compendium[undertaking.conditions.R54LQEKSDXNQ3N75]{Bleeding}&nbsp;condition. Hitting a creature that is already at the maximum stacks of @Compendium[undertaking.conditions.R54LQEKSDXNQ3N75]{Bleeding}&nbsp;inflicts one level of @Compendium[undertaking.conditions.ERBR3AG01H4N1L91]{Exhaustion}&nbsp;until the bleeding is cured, as long as it was not already suffering from @Compendium[undertaking.conditions.ERBR3AG01H4N1L91]{Exhaustion}&nbsp;resulting from this spell.&nbsp;</p><p>For the spell&rsquo;s duration, you can repeat the spell attack against any creature within 5 feet as an action.</p><p>Charge: This is a spell that can be Charged, modifying its effects. Costs and effects are as follow:</p><ul><li>1 Mana: Until the spell ends, you can repeat the spell attack in place of a weapon attack when a creature provokes an Attack of Opportunity from you.</li><li>2 Mana: The poison damage increases by 1d6.</li><li>3 Mana: Creatures afflicted with @Compendium[undertaking.conditions.R54LQEKSDXNQ3N75]{Bleeding}&nbsp;from this spell are also @Compendium[undertaking.conditions.9X088PM7H5U2S1HQ]{Sickened}&nbsp;until the @Compendium[undertaking.conditions.R54LQEKSDXNQ3N75]{Bleeding}&nbsp;is cured.</li></ul>",icons/creatures/reptiles/serpent-horned-green.webp
HVOF7QNI17K2O6C1,Snowslide,2,y,con,y,y,y,A bottle of mountain springwater,n,,1,action,n,,inst,n,60,ft,20,ft,cube,save,"3d8,cold",con,n,"<p>A cascade of snow and ice sweeps through a 20-foot cube centered on a point you choose within range. When you cast this spell, choose one side of the cube (excluding the top and bottom) to be the side of egress. Each creature within the cube must make a Constitution (Save) Check. On a failed save, a creature takes 3d8 cold damage and is moved directly towards the chosen egress side until it is ejected from the cube or is stopped by an obstacle. On a successful save, a creature takes half damage and is not moved. Afterwards, the snow rapidly melts and dissipates, leaving behind only small clumps and puddles.</p><p>Charge: This is a spell that can be Charged, modifying its effects. Costs and effects are as follow:</p><ul><li>1 Mana: Snow coats the ground in the cube for the next minute. While snow-covered, the area is considered difficult terrain. The snow within each 5-foot space melts early when it or a creature in it is subjected to any fire damage.</li><li>2 Mana: The size increases to a 30-foot cube.</li></ul>",icons/magic/water/ice-snowman.webp
BNG42U9X3RWWFWXA,Static Spark,2,y,evo,y,y,y,A piece of fur and a glass sphere,n,,1,action,n,1,minute,y,60,ft,1,,creature,rsak,"2d10,lightning,2d6,lightning",,n,"<p>You hurl a ball of electricity at a creature within range, making a ranged spell attack. On a hit, the target takes 2d10 lightning damage and becomes charged with static electricity. On a miss, the spell ends. For the duration, you can use your action to make a ranged spell attack against any other creature within 15 feet of the charged creature, dealing 2d6 lightning damage on a hit.</p><p>Charge: This is a spell that can be Charged, modifying its effects. Costs and effects are as follow:</p><ul><li>1 Mana: If you miss the initial spell attack, the spell does not end and the target creature&rsquo;s space becomes charged with electricity instead. The rest of the spell functions as normal but with the words &ldquo;charged creature&rdquo; replaced with &ldquo;charged space&rdquo;.</li><li>1 Mana: Instead of making a spell attack, you can touch a willing creature to harmlessly charge them with electricity instead. The spell functions as normal, skipping the initial attack damage.</li><li>4 Mana: The subsequent spell attacks can be triggered as a minor action.</li></ul>",icons/magic/lightning/projectile-tendrils-teal.webp
